service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20200107,20200612
2,0,0,0,0,0,0,0,20200105,20200614
3,0,0,0,0,0,0,0,20200106,20200614
4,0,0,0,0,0,0,0,20200105,20200614
5,0,0,0,0,0,0,0,20200105,20200613
6,0,0,0,0,0,0,0,20200107,20200618
7,0,0,0,0,0,0,0,20200105,20200618
8,0,0,0,0,0,0,0,20200105,20200613
9,0,0,0,0,0,0,0,20200110,20200612
10,0,0,0,0,0,0,0,20200105,20200106
11,0,0,0,0,0,0,0,20200111,20200614
12,0,0,0,0,0,0,0,20200106,20200614
13,0,0,0,0,0,0,0,20200107,20200611
14,0,0,0,0,0,0,0,20200105,20200105
15,0,0,0,0,0,0,0,20200111,20200613
16,0,0,0,0,0,0,0,20200106,20200106
17,0,0,0,0,0,0,0,20200107,20200614
18,0,0,0,0,0,0,0,20200110,20200613
19,0,0,0,0,0,0,0,20200107,20200614
20,0,0,0,0,0,0,0,20200109,20200611
21,0,0,0,0,0,0,0,20200105,20200613
22,0,0,0,0,0,0,0,20200109,20200609
23,0,0,0,0,0,0,0,20200113,20200608
24,0,0,0,0,0,0,0,20200107,20200612
25,0,0,0,0,0,0,0,20200110,20200612
26,0,0,0,0,0,0,0,20200107,20200612
27,0,0,0,0,0,0,0,20200111,20200613
28,0,0,0,0,0,0,0,20200105,20200614
29,0,0,0,0,0,0,0,20200107,20200108
30,0,0,0,0,0,0,0,20200109,20200612
31,0,0,0,0,0,0,0,20200217,20200612
32,0,0,0,0,0,0,0,20200105,20200412
33,0,0,0,0,0,0,0,20200109,20200608
34,0,0,0,0,0,0,0,20200115,20200603
35,0,0,0,0,0,0,0,20200114,20200609
36,0,0,0,0,0,0,0,20200114,20200609
37,0,0,0,0,0,0,0,20200109,20200609
38,0,0,0,0,0,0,0,20200109,20200608
39,0,0,0,0,0,0,0,20200113,20200608
40,0,0,0,0,0,0,0,20200109,20200609
41,0,0,0,0,0,0,0,20200109,20200608
42,0,0,0,0,0,0,0,20200110,20200605
43,0,0,0,0,0,0,0,20200109,20200604
44,0,0,0,0,0,0,0,20200109,20200608
45,0,0,0,0,0,0,0,20200109,20200609
46,0,0,0,0,0,0,0,20200110,20200609
47,0,0,0,0,0,0,0,20200113,20200609
48,0,0,0,0,0,0,0,20200109,20200605
49,0,0,0,0,0,0,0,20200109,20200609
50,0,0,0,0,0,0,0,20200110,20200608
51,0,0,0,0,0,0,0,20200109,20200605
52,0,0,0,0,0,0,0,20200110,20200609
53,0,0,0,0,0,0,0,20200107,20200612
54,0,0,0,0,0,0,0,20200108,20200610
55,0,0,0,0,0,0,0,20200107,20200612
56,0,0,0,0,0,0,0,20200108,20200610
57,0,0,0,0,0,0,0,20200105,20200108
58,0,0,0,0,0,0,0,20200109,20200614
59,0,0,0,0,0,0,0,20200409,20200521
60,0,0,0,0,0,0,0,20200110,20200612
61,0,0,0,0,0,0,0,20200113,20200609
62,0,0,0,0,0,0,0,20200110,20200609
63,0,0,0,0,0,0,0,20200109,20200609
64,0,0,0,0,0,0,0,20200110,20200605
65,0,0,0,0,0,0,0,20200108,20200611
66,0,0,0,0,0,0,0,20200105,20200614
67,0,0,0,0,0,0,0,20200107,20200612
68,0,0,0,0,0,0,0,20200109,20200611
69,0,0,0,0,0,0,0,20200108,20200611
70,0,0,0,0,0,0,0,20200108,20200610
71,0,0,0,0,0,0,0,20200110,20200605
72,0,0,0,0,0,0,0,20200107,20200107
73,0,0,0,0,0,0,0,20200108,20200108
74,0,0,0,0,0,0,0,20200109,20200609
75,0,0,0,0,0,0,0,20200107,20200611
76,0,0,0,0,0,0,0,20200105,20200612
77,0,0,0,0,0,0,0,20200107,20200613
78,0,0,0,0,0,0,0,20200107,20200618
