edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003700525/9022003700021,Uppsala Science Park (Uppsala),Grindstugan (Uppsala),59.843157,17.638761,59.839989,17.63996,11216,87,-11,0.777,396.1287272727273
9022003700021/9022003700525,Grindstugan (Uppsala),Uppsala Science Park (Uppsala),59.839989,17.63996,59.843157,17.638761,11251,72,-4,0.75,383.5568181818182
9022003700172/9022003700032,Skolgatan (Uppsala),Klostergatan (Uppsala),59.863106,17.635574,59.861158,17.636824,9808,108,-21,0.781,348.184
9022003700025/9022003700587,Akademiska sjukhuset södra (Uppsala),Akademiska sjukhuset (Uppsala),59.846323,17.638346,59.847473,17.642852,8360,56,-1,0.878,333.64
9022003700578/9022003700587,Svandammen (Uppsala),Akademiska sjukhuset (Uppsala),59.854288,17.638927,59.847473,17.642852,8352,52,0,0.875,332.1818181818182
9022003700032/9022003700600,Klostergatan (Uppsala),Uppsala Centralstationen (Uppsala),59.861158,17.636824,59.858683,17.64372,9161,238,-40,0.796,331.4616363636364
9022003700525/9022003700025,Uppsala Science Park (Uppsala),Akademiska sjukhuset södra (Uppsala),59.843157,17.638761,59.846323,17.638346,8360,92,0,0.872,331.36
9022003700025/9022003700525,Akademiska sjukhuset södra (Uppsala),Uppsala Science Park (Uppsala),59.846323,17.638346,59.843157,17.638761,8352,53,0,0.846,321.1723636363636
9022003700062/9022003700600,Vaksala torg (Uppsala),Uppsala Centralstationen (Uppsala),59.861884,17.645968,59.858683,17.64372,8091,273,-35,0.848,311.8712727272727
9022003700494/9022003700025,Akademiska ingång 78-85 (Uppsala),Akademiska sjukhuset södra (Uppsala),59.84732,17.641577,59.846323,17.638346,7552,70,0,0.864,296.58763636363636
9022003700172/9022003700162,Skolgatan (Uppsala),Svartbäckens vårdcentral (Uppsala),59.863106,17.635574,59.869091,17.628082,8239,116,17,0.789,295.4805
9022003700587/9022003700494,Akademiska sjukhuset (Uppsala),Akademiska ingång 78-85 (Uppsala),59.847473,17.642852,59.84732,17.641577,7552,65,-3,0.849,291.4385454545454
9022003700162/9022003700172,Svartbäckens vårdcentral (Uppsala),Skolgatan (Uppsala),59.869091,17.628082,59.863106,17.635574,8349,197,-72,0.74,280.83
9022003700325/9022003700600,Bäverns gränd (Uppsala),Uppsala Centralstationen (Uppsala),59.856129,17.645311,59.858683,17.64372,8104,235,-76,0.726,267.432
9022003700587/9022003700578,Akademiska sjukhuset (Uppsala),Svandammen (Uppsala),59.847473,17.642852,59.854288,17.638927,8358,166,-73,0.692,262.89709090909093
9022003700032/9022003700172,Klostergatan (Uppsala),Skolgatan (Uppsala),59.861158,17.636824,59.863106,17.635574,8393,54,28,0.624,238.056
9022003700325/9022003700578,Bäverns gränd (Uppsala),Svandammen (Uppsala),59.856129,17.645311,59.854288,17.638927,6756,85,31,0.735,225.71181818181816
9022003700259/9022003700600,Samariterhemmet (Uppsala),Uppsala Centralstationen (Uppsala),59.855191,17.650096,59.858683,17.64372,7111,217,-85,0.696,224.9661818181818
9022003700583/9022003700069,Evolutionsmuseet (Uppsala),Birkagatan (Uppsala),59.850498,17.624121,59.846989,17.61747,5225,89,0,0.907,215.4125
9022003700069/9022003700583,Birkagatan (Uppsala),Evolutionsmuseet (Uppsala),59.846989,17.61747,59.850498,17.624121,5211,90,-2,0.909,215.30904545454547
9022003700072/9022003700070,Täljstenen (Uppsala),Sommarro (Uppsala),59.839678,17.613791,59.843355,17.616666,5211,71,1,0.884,209.38745454545455
9022003700066/9022003700593,Segerstedthuset (Uppsala),Uppsala Akademiska sjukhuset västra,59.852982,17.633394,59.849367,17.636426,4971,56,-2,0.924,208.782
9022003700575/9022003700583,Blåsenhus (Uppsala),Evolutionsmuseet (Uppsala),59.851765,17.630508,59.850498,17.624121,5225,36,3,0.875,207.8125
9022003700070/9022003700071,Sommarro (Uppsala),Lindsbergsgatan (Uppsala),59.843355,17.616666,59.84185,17.61646,5222,41,1,0.87,206.50636363636363
9022003700583/9022003700575,Evolutionsmuseet (Uppsala),Blåsenhus (Uppsala),59.850498,17.624121,59.851765,17.630508,5211,60,-4,0.869,205.83450000000002
9022003700070/9022003700069,Sommarro (Uppsala),Birkagatan (Uppsala),59.843355,17.616666,59.846989,17.61747,5205,74,-10,0.857,202.75840909090908
9022003700016/9022003700014,Linrepevägen (Uppsala),Gottsunda torg (Uppsala),59.813073,17.63415,59.811287,17.62694,5138,146,-11,0.863,201.54972727272727
9022003700064/9022003700065,Trädgårdsgatan (Uppsala),Slottsbacken (Uppsala),59.857322,17.636399,59.85489,17.632428,5804,42,14,0.745,196.54454545454544
