edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003700021/9022003700525,9022003700021,9022003700525,Grindstugan (Uppsala),Uppsala Science Park (Uppsala),59.839989,17.63996,59.843157,17.638761,11251,-4,-0.06
9022003700525/9022003700021,9022003700525,9022003700021,Uppsala Science Park (Uppsala),Grindstugan (Uppsala),59.843157,17.638761,59.839989,17.63996,11216,-11,-0.13846153846153847
9022003700172/9022003700032,9022003700172,9022003700032,Skolgatan (Uppsala),Klostergatan (Uppsala),59.863106,17.635574,59.861158,17.636824,9808,-21,-0.1885245901639344
9022003700032/9022003700600,9022003700032,9022003700600,Klostergatan (Uppsala),Uppsala Centralstationen (Uppsala),59.861158,17.636824,59.858683,17.64372,9161,-40,-0.17733990147783252
9022003700032/9022003700172,9022003700032,9022003700172,Klostergatan (Uppsala),Skolgatan (Uppsala),59.861158,17.636824,59.863106,17.635574,8393,28,0.574468085106383
9022003700025/9022003700587,9022003700025,9022003700587,Akademiska sjukhuset södra (Uppsala),Akademiska sjukhuset (Uppsala),59.846323,17.638346,59.847473,17.642852,8360,-1,-0.01818181818181818
9022003700525/9022003700025,9022003700525,9022003700025,Uppsala Science Park (Uppsala),Akademiska sjukhuset södra (Uppsala),59.843157,17.638761,59.846323,17.638346,8360,0,0
9022003700587/9022003700578,9022003700587,9022003700578,Akademiska sjukhuset (Uppsala),Svandammen (Uppsala),59.847473,17.642852,59.854288,17.638927,8358,-73,-0.4427860696517413
9022003700025/9022003700525,9022003700025,9022003700525,Akademiska sjukhuset södra (Uppsala),Uppsala Science Park (Uppsala),59.846323,17.638346,59.843157,17.638761,8352,0,0
9022003700578/9022003700587,9022003700578,9022003700587,Svandammen (Uppsala),Akademiska sjukhuset (Uppsala),59.854288,17.638927,59.847473,17.642852,8352,0,0
9022003700162/9022003700172,9022003700162,9022003700172,Svartbäckens vårdcentral (Uppsala),Skolgatan (Uppsala),59.869091,17.628082,59.863106,17.635574,8349,-72,-0.3476190476190476
9022003700600/9022003700032,9022003700600,9022003700032,Uppsala Centralstationen (Uppsala),Klostergatan (Uppsala),59.858683,17.64372,59.861158,17.636824,8340,147,1.6153846153846154
9022003700172/9022003700162,9022003700172,9022003700162,Skolgatan (Uppsala),Svartbäckens vårdcentral (Uppsala),59.863106,17.635574,59.869091,17.628082,8239,17,0.16666666666666666
9022003700325/9022003700600,9022003700325,9022003700600,Bäverns gränd (Uppsala),Uppsala Centralstationen (Uppsala),59.856129,17.645311,59.858683,17.64372,8104,-76,-0.3560606060606061
9022003700062/9022003700600,9022003700062,9022003700600,Vaksala torg (Uppsala),Uppsala Centralstationen (Uppsala),59.861884,17.645968,59.858683,17.64372,8091,-35,-0.13565891472868216
9022003700600/9022003700062,9022003700600,9022003700062,Uppsala Centralstationen (Uppsala),Vaksala torg (Uppsala),59.858683,17.64372,59.861884,17.645968,8006,147,1.7692307692307692
9022003700578/9022003700325,9022003700578,9022003700325,Svandammen (Uppsala),Bäverns gränd (Uppsala),59.854288,17.638927,59.856129,17.645311,7615,62,0.797752808988764
9022003700494/9022003700025,9022003700494,9022003700025,Akademiska ingång 78-85 (Uppsala),Akademiska sjukhuset södra (Uppsala),59.84732,17.641577,59.846323,17.638346,7552,0,0
9022003700587/9022003700494,9022003700587,9022003700494,Akademiska sjukhuset (Uppsala),Akademiska ingång 78-85 (Uppsala),59.847473,17.642852,59.84732,17.641577,7552,-3,-0.05660377358490566
9022003700600/9022003700325,9022003700600,9022003700325,Uppsala Centralstationen (Uppsala),Bäverns gränd (Uppsala),59.858683,17.64372,59.856129,17.645311,7281,91,1.1910112359550562
9022003700259/9022003700600,9022003700259,9022003700600,Samariterhemmet (Uppsala),Uppsala Centralstationen (Uppsala),59.855191,17.650096,59.858683,17.64372,7111,-85,-0.4090909090909091
9022003700600/9022003700259,9022003700600,9022003700259,Uppsala Centralstationen (Uppsala),Samariterhemmet (Uppsala),59.858683,17.64372,59.855191,17.650096,7068,97,1.4193548387096775
9022003700325/9022003700578,9022003700325,9022003700578,Bäverns gränd (Uppsala),Svandammen (Uppsala),59.856129,17.645311,59.854288,17.638927,6756,31,0.36
9022003700064/9022003700001,9022003700064,9022003700001,Trädgårdsgatan (Uppsala),Stora Torget (Uppsala),59.857322,17.636399,59.858594,17.639199,5822,-110,-0.5714285714285714
9022003700065/9022003700064,9022003700065,9022003700064,Slottsbacken (Uppsala),Trädgårdsgatan (Uppsala),59.85489,17.632428,59.857322,17.636399,5816,34,1
9022003700001/9022003700064,9022003700001,9022003700064,Stora Torget (Uppsala),Trädgårdsgatan (Uppsala),59.858594,17.639199,59.857322,17.636399,5807,85,1.6376811594202898
