edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,median_deviation,scheduled_deviation,record_count,flow
9022003799482/9022003780148,9022003799482,9022003780148,Karlsborg,Solvallen (Uppsala),59.984594,17.593791,59.987757,17.592904,13,17.695652173913043,46,1.213981818181818
9022003799481/9022003780851,9022003799481,9022003780851,Torsbro (Ramsta),Vissgärde (Uppsala),59.794627,17.42852,59.795287,17.420126,-9,39.847457627118644,59,2.1194409090909088
9022003799481/9022003780367,9022003799481,9022003780367,Torsbro (Ramsta),Ramsta kyrka (Uppsala),59.794627,17.42852,59.793207,17.439531,-1,59,17,0.7014045454545454
9022003799480/9022003780599,9022003799480,9022003780599,Fullerö hage Skolhållplats,Östaladan (Uppsala),59.940382,17.672575,59.957496,17.66865,31,121.33333333333333,48,1.1836363636363636
9022003799010/9022003780444,9022003799010,9022003780444,Funbo Sommarro,Funbo kyrka (Uppsala),59.853023,17.857983,59.855112,17.858737,-63,103,17,0.47947727272727275
9022003799010/9022003780134,9022003799010,9022003780134,Funbo Sommarro,Marielunds gård (Uppsala),59.853023,17.857983,59.838542,17.869919,0,170,16,0.7272727272727273
9022003799009/9022003780578,9022003799009,9022003780578,Åloppe (Bälinge),Äskelunda vägskäl (Bälinge) (Uppsala),59.948412,17.488109,59.951688,17.500787,0,87.72,50,1.885227272727273
9022003799008/9022003760222,9022003799008,9022003760222,Limexvägen (Tierp),Louis De Geers väg (Tobo) (Tierp),60.258993,17.652384,60.259861,17.658413,-47,144,72,2.4133090909090913
9022003799008/9022003760073,9022003799008,9022003760073,Limexvägen (Tierp),Tobo gamla station (Tierp),60.258993,17.652384,60.257926,17.652974,2,11.584269662921349,89,2.022727272727273
9022003799006/9022003780957,9022003799006,9022003780957,Länsgränsen (Burvik) (Uppsala),Norrängevägen (Burvik) (Uppsala),59.895552,18.399575,59.897368,18.39128,-8,29.475524475524477,143,5.0947000000000005
9022003799006/9022003191078,9022003799006,9022003191078,Länsgränsen (Burvik) (Uppsala),Smara (Norrtälje),59.895552,18.399575,59.886266,18.42049,39,114.27464788732394,142,4.742154545454545
9022003799003/9022003780260,9022003799003,9022003780260,Björk (Uppsala),Eneby (Västeråker) (Uppsala),59.740285,17.50311,59.742869,17.493441,18,53,17,0.5768409090909091
9022003799003/9022003780082,9022003799003,9022003780082,Björk (Uppsala),Sisselkulla (Uppsala),59.740285,17.50311,59.743941,17.503652,-10,53,30,1.1292272727272725
9022003799002/9022003760196,9022003799002,9022003760196,Hjälmunge kvarn (Tierp),Verstuberget (Tierp),60.537013,17.912237,60.536194,17.88833,-44,135,7,0.23997272727272725
9022003799002/9022003760195,9022003799002,9022003760195,Hjälmunge kvarn (Tierp),Hjälmunge macken (Tierp),60.537013,17.912237,60.536601,17.921832,25,37.05263157894737,19,0.5314818181818182
9022003799001/9022003760224,9022003799001,9022003760224,Hjälmunge södra (Tierp),Kvarnbo (Tierp),60.52993,17.915585,60.510346,17.913528,24,164.57894736842104,19,0.72105
9022003799001/9022003760195,9022003799001,9022003760195,Hjälmunge södra (Tierp),Hjälmunge macken (Tierp),60.52993,17.915585,60.536601,17.921832,-31,126,7,0.25534090909090906
9022003793139/9022003793053,9022003793139,9022003793053,Tegnér (Västerås),Knektgatan (Västerås),59.617196,16.554079,59.615152,16.578376,104,241.50851581508516,822,25.814536363636364
9022003793139/9022003660600,9022003793139,9022003660600,Tegnér (Västerås),Västerås Centralstation (Västerås),59.617196,16.554079,59.608109,16.55285,-47,294,808,31.666254545454542
9022003793137/9022003793060,9022003793137,9022003793060,Rosenbacka (Heby),Björnlund (Heby),59.895504,17.12295,59.896626,17.11122,-2,25.83882783882784,819,33.37797272727273
9022003793137/9022003793006,9022003793137,9022003793006,Rosenbacka (Heby),Skärsjön (Uppsala),59.895504,17.12295,59.894686,17.134692,-6,32.553113553113555,819,31.643181818181816
9022003793136/9022003793033,9022003793136,9022003793033,Östervåla skola (Heby),Östervåla busstation (Heby),60.181905,17.175419,60.180183,17.179673,-61,272.1818181818182,33,1.19415
9022003793136/9022003717038,9022003793136,9022003717038,Östervåla skola (Heby),Vårdcentralen (Östervåla) (Heby),60.181905,17.175419,60.182301,17.184916,112,60,30,0.533590909090909
9022003793136/9022003717006,9022003793136,9022003717006,Östervåla skola (Heby),Västra Ågatan (Östervåla) (Heby),60.181905,17.175419,60.182384,17.171672,18,4.066666666666666,30,0.2727272727272727
9022003793134/9022003717037,9022003793134,9022003717037,Huddunge (Heby),Lagbo (Heby),60.04928,16.982688,60.054212,16.995268,30,47,37,1.0134636363636365
9022003793134/9022003717022,9022003793134,9022003717022,Huddunge (Heby),Rävberget (Heby),60.04928,16.982688,60.046534,16.972521,1,57,50,2.089545454545455
9022003793131/9022003717070,9022003793131,9022003717070,Tärnsjö centrum (Heby),Hemmingsbo (Heby),60.153482,16.927456,60.140596,16.986919,221,181,50,1.0231818181818182
9022003793131/9022003717039,9022003793131,9022003717039,Tärnsjö centrum (Heby),Fridhemsvägen (Tärnsjö) (Heby),60.153482,16.927456,60.150672,16.922121,28,83.7444089456869,313,7.113636363636363
9022003793131/9022003717021,9022003793131,9022003717021,Tärnsjö centrum (Heby),Folkets hus (Tärnsjö) (Heby),60.153482,16.927456,60.156945,16.932958,19,41.76119402985075,402,12.485754545454546
9022003793127/9022003793125,9022003793127,9022003793125,Holvarbo (Heby),Hindersbo (Heby),60.214093,17.324965,60.202028,17.320998,49,88,17,0.49632272727272725
9022003793127/9022003760437,9022003793127,9022003760437,Holvarbo (Heby),Mossboda,60.214093,17.324965,60.204726,17.32767,31,58.5,30,0.6818181818181818
9022003793126/9022003760437,9022003793126,9022003760437,Källvik (Tierp),Mossboda,60.205239,17.359311,60.204726,17.32767,30,82.50359712230215,139,4.475168181818182
9022003793126/9022003760137,9022003793126,9022003760137,Källvik (Tierp),Iggelbo vägskäl (Tierp),60.205239,17.359311,60.204081,17.382053,-45,123.93571428571428,140,4.669
9022003793125/9022003793127,9022003793125,9022003793127,Hindersbo (Heby),Holvarbo (Heby),60.202028,17.320998,60.214093,17.324965,38,55,30,0.7438636363636363
9022003793125/9022003793124,9022003793125,9022003793124,Hindersbo (Heby),Jägartorp (Heby),60.202028,17.320998,60.198161,17.318422,4,21.48201438848921,139,5.169536363636364
9022003793125/9022003760437,9022003793125,9022003760437,Hindersbo (Heby),Mossboda,60.202028,17.320998,60.204726,17.32767,16,16.572727272727274,110,2.6390000000000002
9022003793124/9022003793125,9022003793124,9022003793125,Jägartorp (Heby),Hindersbo (Heby),60.198161,17.318422,60.202028,17.320998,7,16.82857142857143,140,4.478090909090909
9022003793124/9022003793123,9022003793124,9022003793123,Jägartorp (Heby),Aspnäs vägskäl (Heby),60.198161,17.318422,60.190344,17.308039,9,43.05755395683453,139,5.224504545454545
9022003793123/9022003793124,9022003793123,9022003793124,Aspnäs vägskäl (Heby),Jägartorp (Heby),60.190344,17.308039,60.198161,17.318422,13,38.707142857142856,140,4.886636363636364
9022003793123/9022003793122,9022003793123,9022003793122,Aspnäs vägskäl (Heby),Öndbo (Heby),60.190344,17.308039,60.184804,17.300215,4,40.194244604316545,139,5.743859090909091
9022003793122/9022003793123,9022003793122,9022003793123,Öndbo (Heby),Aspnäs vägskäl (Heby),60.184804,17.300215,60.190344,17.308039,10,28.292857142857144,140,4.848454545454545
9022003793122/9022003793120,9022003793122,9022003793120,Öndbo (Heby),Gundbo vägskäl (Heby),60.184804,17.300215,60.182588,17.292094,5,23.100719424460433,139,4.801818181818182
9022003793121/9022003793119,9022003793121,9022003793119,Kartans vägskäl (Östervåla) (Heby),Skogbo vägskäl (Heby),60.18381,17.192513,60.181999,17.203395,9,28.65,140,4.595818181818181
9022003793121/9022003717038,9022003793121,9022003717038,Kartans vägskäl (Östervåla) (Heby),Vårdcentralen (Östervåla) (Heby),60.18381,17.192513,60.182301,17.184916,-28,78.68345323741008,139,4.633122727272727
9022003793120/9022003793122,9022003793120,9022003793122,Gundbo vägskäl (Heby),Öndbo (Heby),60.182588,17.292094,60.184804,17.300215,5,20.114285714285714,140,5.090909090909091
9022003793120/9022003793118,9022003793120,9022003793118,Gundbo vägskäl (Heby),Stigmota (Heby),60.182588,17.292094,60.178411,17.277885,9,37.94244604316547,139,4.973672727272728
9022003793119/9022003793121,9022003793119,9022003793121,Skogbo vägskäl (Heby),Kartans vägskäl (Östervåla) (Heby),60.181999,17.203395,60.18381,17.192513,-31,75.92086330935251,139,4.453054545454545
9022003793119/9022003793117,9022003793119,9022003793117,Skogbo vägskäl (Heby),Åby (Östervåla) (Heby),60.181999,17.203395,60.179385,17.209537,7,16.064285714285713,140,4.581818181818181
9022003793118/9022003793120,9022003793118,9022003793120,Stigmota (Heby),Gundbo vägskäl (Heby),60.178411,17.277885,60.182588,17.292094,11,34.75,140,4.963636363636364
9022003793118/9022003717079,9022003793118,9022003717079,Stigmota (Heby),Sjövalla,60.178411,17.277885,60.176717,17.274385,2,17.071942446043167,139,5.370454545454545
9022003793117/9022003793119,9022003793117,9022003793119,Åby (Östervåla) (Heby),Skogbo vägskäl (Heby),60.179385,17.209537,60.181999,17.203395,-24,55.589928057553955,139,4.374077272727273
9022003793117/9022003793116,9022003793117,9022003793116,Åby (Östervåla) (Heby),Huggle (Heby),60.179385,17.209537,60.175775,17.218086,8,23.178571428571427,140,4.866272727272728
9022003793116/9022003793117,9022003793116,9022003793117,Huggle (Heby),Åby (Östervåla) (Heby),60.175775,17.218086,60.179385,17.209537,-30,67.27338129496403,139,4.307736363636364
9022003793116/9022003793002,9022003793116,9022003793002,Huggle (Heby),Huggle östra (Heby),60.175775,17.218086,60.17388,17.224131,7,12.721428571428572,140,4.242636363636363
9022003793115/9022003793097,9022003793115,9022003793097,Gräsbovägen (Östervåla) (Heby),Harbo centrum (Harbo) (Heby),60.177939,17.177939,60.1052,17.198612,43,456,52,2.159890909090909
9022003793115/9022003793033,9022003793115,9022003793033,Gräsbovägen (Östervåla) (Heby),Östervåla busstation (Heby),60.177939,17.177939,60.180183,17.179673,-50,146.78163771712158,806,27.070609090909088
9022003793115/9022003717001,9022003793115,9022003717001,Gräsbovägen (Östervåla) (Heby),Svingbolsta (Östervåla) (Heby),60.177939,17.177939,60.173425,17.181264,4,40,742,29.980172727272727
9022003793113/9022003793111,9022003793113,9022003793111,Bärby (Heby),Gällarbo vägskäl (Heby),60.171726,17.262109,60.171261,17.255476,-15,44.172661870503596,139,4.422727272727273
9022003793113/9022003717079,9022003793113,9022003717079,Bärby (Heby),Sjövalla,60.171726,17.262109,60.176717,17.274385,21,34.135714285714286,140,4.030090909090909
9022003793112/9022003793109,9022003793112,9022003793109,Brunsbo vägskäl (Heby),Hagaberg (Heby),60.172851,17.232988,60.171036,17.241467,6,18.35,140,4.465999999999999
9022003793112/9022003793002,9022003793112,9022003793002,Brunsbo vägskäl (Heby),Huggle östra (Heby),60.172851,17.232988,60.17388,17.224131,-19,44.68345323741007,139,4.381659090909091
9022003793111/9022003793113,9022003793111,9022003793113,Gällarbo vägskäl (Heby),Bärby (Heby),60.171261,17.255476,60.171726,17.262109,3,14.257142857142858,140,5.090909090909091
9022003793111/9022003793003,9022003793111,9022003793003,Gällarbo vägskäl (Heby),Smedsbo (Heby),60.171261,17.255476,60.170735,17.248553,-20,41.42446043165467,139,4.101131818181818
9022003793109/9022003793112,9022003793109,9022003793112,Hagaberg (Heby),Brunsbo vägskäl (Heby),60.171036,17.241467,60.172851,17.232988,-24,53.33812949640288,139,4.322900000000001
9022003793109/9022003793003,9022003793109,9022003793003,Hagaberg (Heby),Smedsbo (Heby),60.171036,17.241467,60.170735,17.248553,4,15.528571428571428,140,5.151363636363636
9022003793108/9022003793107,9022003793108,9022003793107,Skogsvallen (Östervåla) (Heby),Åbylund (Heby),60.169381,17.187671,60.165685,17.194343,0,28,742,32.56368181818182
9022003793108/9022003717001,9022003793108,9022003717001,Skogsvallen (Östervåla) (Heby),Svingbolsta (Östervåla) (Heby),60.169381,17.187671,60.173425,17.181264,-11,31.029372496662216,749,25.12895
9022003793107/9022003793108,9022003793107,9022003793108,Åbylund (Heby),Skogsvallen (Östervåla) (Heby),60.165685,17.194343,60.169381,17.187671,3,25.991989319092124,749,29.507195454545457
9022003793107/9022003717002,9022003793107,9022003717002,Åbylund (Heby),Gäddvikens vägskäl (Heby),60.165685,17.194343,60.157567,17.204843,9,46,742,28.20949090909091
